Latitude,Longitude,Elevation,Speed
34.893017,33.635278,12,80
34.893006,33.635293,12,80
34.892992,33.635312,12,80
34.892932,33.635399,12,80
34.892953,33.635386,12,80
34.892916,33.63547,12,80
34.8929,33.635471,12,80
34.892897,33.635472,12,80
34.892901,33.635476,12,80
34.892899,33.635477,12,80
34.892898,33.635485,12,80
34.892928,33.635601,12,80
34.893088,33.63562,12,80
34.893157,33.635444,12,80
34.893143,33.635396,12,80
34.893122,33.63535,12,80
34.893098,33.635303,12,80
34.893052,33.635189,12,80
34.89291,33.634701,13,80
34.892888,33.634643,13,80
34.892804,33.634435,12,80
34.892773,33.63442,12,80
34.892741,33.634423,12,80
34.892706,33.634438,13,80
34.892666,33.634455,13,80
34.892022,33.634774,12,80
34.891505,33.635004,8,80
34.891403,33.635055,7,80
34.891235,33.635144,5,80
34.89122,33.635155,5,80
34.891112,33.635151,4,80
34.891084,33.635118,4,80
34.891064,33.635071,4,80
34.890945,33.634655,4,80
34.890922,33.634631,4,80
34.890878,33.634627,4,80
34.890868,33.634608,4,80
34.890865,33.634582,4,80
34.890863,33.63455,4,80
34.890854,33.634512,4,80
34.890839,33.634474,4,80
34.890823,33.634436,3,80
34.890719,33.634092,2,80
34.890702,33.63404,2,80
34.89068,33.633986,1,80
34.890658,33.633931,1,80
34.890616,33.633819,1,80
34.890597,33.633766,2,80
34.890578,33.633717,2,80
34.890559,33.633671,2,80
34.89054,33.633626,2,80
34.890522,33.633582,3,80
34.890477,33.633439,4,80
34.890486,33.633399,4,80
34.890509,33.633374,4,80
34.890532,33.63333,5,80
34.890531,33.633302,5,80
34.890525,33.633275,5,80
34.890518,33.633247,5,80
34.890513,33.633216,5,80
34.890475,33.632944,4,80
34.890474,33.632899,4,80
34.890473,33.632854,4,80
34.890472,33.632807,4,80
34.89047,33.632708,4,80
34.890471,33.632659,5,80
34.890473,33.632612,5,80
34.890528,33.632132,6,80
34.890533,33.63208,6,80
34.89054,33.632027,6,80
34.890556,33.631979,6,80
34.890577,33.631932,6,80
34.890857,33.631308,6,80
34.891033,33.631017,4,80
34.891042,33.630967,4,80
34.891037,33.630918,4,80
34.891013,33.630877,4,80
34.890978,33.630846,4,80
34.890937,33.630819,4,80
34.8909,33.630785,4,80
34.890834,33.630712,4,80
34.890801,33.630678,4,80
34.890356,33.630184,5,80
34.890122,33.629917,5,80
34.890017,33.629801,5,80
34.889904,33.629692,4,80
34.889872,33.629649,4,80
34.889709,33.629432,3,80
34.889683,33.629384,3,80
34.889628,33.629284,3,80
34.889054,33.628471,4,80
34.888518,33.627727,5,80
34.888032,33.627034,6,80
34.887891,33.626841,5,80
34.88744,33.62621,5,80
34.88724,33.625927,3,80
34.887202,33.625884,3,80
34.887086,33.625765,2,80
34.886933,33.625524,1,80
34.88691,33.625468,1,80
34.886859,33.625354,1,80
34.886372,33.624372,0,80
34.88601,33.623642,2,80
34.885979,33.623585,2,80
34.885953,33.623526,2,80
34.885922,33.623468,2,80
34.885888,33.623414,2,80
34.885852,33.623365,2,80
34.885817,33.623316,3,80
34.88575,33.623211,3,80
34.885709,33.623163,3,80
34.885664,33.623117,3,80
34.885066,33.622693,3,80
34.884932,33.622639,3,80
34.884893,33.622631,3,80
34.884853,33.622626,3,80
34.88408,33.622597,2,80
34.883994,33.622604,2,80
34.883952,33.622617,2,80
34.883547,33.622797,1,80
34.883285,33.622627,2,80
34.883244,33.622539,2,80
34.88323,33.622493,2,80
34.883184,33.622374,2,80
34.883177,33.622363,2,80
34.883179,33.622349,2,80
34.883183,33.622349,3,80
34.883182,33.622335,3,80
34.883181,33.622314,3,80
34.883177,33.622292,3,80
34.883171,33.622265,3,80
34.883166,33.622235,3,80
34.883164,33.622205,3,80
34.883158,33.622178,3,80
34.883147,33.622151,3,80
34.88313,33.622127,3,80
34.883103,33.622079,3,80
34.883085,33.622049,3,80
34.883059,33.622017,3,80
34.883032,33.621982,2,80
34.883006,33.621945,2,80
34.882567,33.621417,-1,80
34.881954,33.62067,0,80
34.881212,33.619763,4,80
34.880425,33.618811,-2,80
34.879636,33.61785,1,80
34.878905,33.616958,5,80
34.878204,33.616096,3,80
34.87812,33.615989,3,80
34.878083,33.615932,3,80
34.877714,33.615389,4,80
34.87768,33.615345,4,80
34.877647,33.615313,4,80
34.877617,33.61529,3,80
34.877593,33.615264,4,80
34.877576,33.61523,4,80
34.877562,33.615189,4,80
34.877546,33.615145,4,80
34.877532,33.615102,4,80
34.877525,33.615058,4,80
34.877505,33.61497,5,80
34.877491,33.614929,5,80
34.877478,33.614888,5,80
34.877454,33.614805,5,80
34.877321,33.614405,4,80
34.877304,33.614357,4,80
34.877289,33.614306,4,80
34.877234,33.614089,4,80
34.877219,33.614035,3,80
34.877088,33.613418,1,80
34.877066,33.613365,1,80
34.877014,33.613264,1,80
34.87698,33.613219,1,80
34.876842,33.613058,2,80
34.876803,33.613037,2,80
34.876726,33.61301,2,80
34.876683,33.613004,2,80
34.876642,33.613005,3,80
34.876606,33.613007,3,80
34.876572,33.613007,3,80
34.876509,33.613001,3,80
34.876477,33.612994,3,80
34.876443,33.612996,3,80
34.876305,33.613041,3,80
34.876304,33.613041,3,80
34.876294,33.613032,3,80
34.876288,33.613015,3,80
34.87629,33.612992,3,80
34.876304,33.612969,3,80
34.876326,33.612949,3,80
34.876389,33.612936,3,80
34.876425,33.612936,3,80
34.876905,33.612805,2,80
34.876929,33.612742,3,80
34.876967,33.612655,2,80
34.876983,33.612603,2,80
34.877001,33.612082,4,80
34.877009,33.611922,4,80
34.877116,33.610959,7,80
34.877123,33.610897,7,80
34.87713,33.610835,7,80
34.877242,33.60981,7,80
34.87735,33.608878,12,80
34.877465,33.607827,11,80
34.877502,33.606856,13,80
34.877497,33.606747,12,80
34.877491,33.606694,12,80
34.877486,33.606641,13,80
34.877473,33.606533,13,80
34.877468,33.606477,13,80
34.877357,33.605729,14,80
34.877165,33.605032,16,80
34.877142,33.604984,15,80
34.877122,33.604935,15,80
34.877068,33.604768,14,80
34.876998,33.604595,13,80
34.876602,33.603803,16,80
34.8762,33.603244,15,80
34.876159,33.603214,15,80
34.876073,33.603164,15,80
34.876034,33.60315,14,80
34.875994,33.603138,14,80
34.875953,33.603129,14,80
